Latitude,Longitude,Altitude,density
40.7437668,30.3272086,252.39,0.098413566
40.7437668,30.3272087,253.02,0.098437404
40.7437668,30.3272087,253.64,0.098413566
40.7437668,30.3272087,254.27,0.098413566
40.7437668,30.3272088,254.9,0.098437404
40.7437668,30.3272088,255.52,0.098389746
40.7437668,30.3272089,256.13,0.098365943
40.7437668,30.3272089,256.75,0.098389746
40.7437668,30.327209,257.38,0.098365943
40.7437668,30.327209,258.01,0.098389746
40.7437668,30.3272091,258.65,0.098294637
40.7437668,30.3272092,259.27,0.098365943
40.7437668,30.3272092,259.9,0.098365943
40.7437668,30.3272093,260.52,0.098389746
40.7437668,30.3272093,261.14,0.098342157
40.7437668,30.3272094,261.77,0.098342157
40.7437668,30.3272094,262.4,0.098318389
40.7437669,30.3272094,263.01,0.098342157
40.7437683,30.3272096,263.58,0.098294637
40.7437715,30.3272099,264.01,0.098294637
40.7437775,30.3272104,264.26,0.098294637
40.7437868,30.3272113,264.33,0.098342157
40.7437995,30.3272126,264.31,0.098318389
40.7438154,30.3272146,264.27,0.098294637
40.7438342,30.3272175,264.24,0.098318389
40.7438562,30.3272217,264.21,0.098294637
40.743881,30.3272272,264.18,0.098294637
40.7439075,30.327234,264.15,0.098342157
40.7439361,30.3272423,264.11,0.098318389
40.7439668,30.3272521,264.07,0.098270903
40.7439992,30.3272635,264.03,0.098270903
40.7440335,30.3272766,263.98,0.098199804
40.7440695,30.3272912,263.95,0.098247186
40.744107,30.3273074,263.95,0.098270903
40.7441461,30.3273252,263.97,0.098199804
40.7441866,30.3273443,264.0,0.098199804
40.7442283,30.3273648,264.06,0.098247186
40.7442713,30.3273864,264.13,0.098270903
40.7443154,30.3274091,264.2,0.098294637
40.7443606,30.3274328,264.27,0.098247186
40.7444067,30.3274575,264.34,0.098247186
40.7444537,30.3274829,264.42,0.098247186
40.7445015,30.3275091,264.48,0.098199804
40.74455,30.327536,264.54,0.098247186
40.7445992,30.3275634,264.59,0.098199804
40.7446487,30.3275913,264.64,0.098247186
40.744699,30.3276197,264.68,0.098223487
40.7447502,30.3276486,264.71,0.098199804
40.7448015,30.3276778,264.73,0.098199804
40.744853,30.3277071,264.75,0.098152490
40.7449046,30.3277366,264.77,0.098247186
40.7449566,30.3277663,264.78,0.098247186
40.7450088,30.3277963,264.77,0.098176139
40.7450613,30.3278265,264.76,0.098152490
40.7451138,30.3278568,264.75,0.098223487
40.7451669,30.3278874,264.72,0.098199804
40.7452201,30.3279182,264.63,0.098223487
40.7452734,30.327949,264.37,0.098199804
40.745327,30.3279802,263.99,0.098152490
40.7453807,30.3280114,263.6,0.098199804
40.7454348,30.3280428,263.26,0.098223487
40.7454891,30.3280745,262.95,0.098199804
40.7455436,30.3281062,262.7,0.098199804
40.7455985,30.3281382,262.48,0.098199804
40.7456537,30.3281704,262.3,0.098199804
40.7457088,30.3282026,262.16,0.098199804
40.7457641,30.3282349,262.03,0.098152490
40.7458194,30.3282672,261.91,0.098199804
40.7458748,30.3282996,261.83,0.098152490
40.7459304,30.328332,261.77,0.098152490
40.7459856,30.3283642,261.74,0.098176139
40.7460409,30.3283965,261.71,0.098152490
40.7460964,30.3284289,261.7,0.098223487
40.7461517,30.3284611,261.7,0.098105245
40.7462069,30.3284934,261.71,0.098105245
40.746262,30.3285256,261.74,0.098105245
40.7463171,30.3285578,261.77,0.098105245
40.7463721,30.3285899,261.79,0.098128859
40.746427,30.328622,261.83,0.098058068
40.7464818,30.3286541,261.86,0.098105245
40.7465367,30.3286863,261.89,0.098058068
40.7465914,30.3287184,261.93,0.098058068
40.746646,30.3287504,261.98,0.098105245
40.7467006,30.3287824,262.02,0.098058068
40.746755,30.3288144,262.06,0.098105245
40.7468094,30.3288462,262.1,0.098058068
40.7468636,30.328878,262.15,0.098058068
40.7469177,30.3289098,262.17,0.098010958
40.7469717,30.3289415,262.19,0.098058068
40.7470255,30.3289731,262.22,0.098010958
40.7470795,30.3290048,262.24,0.098010958
40.7471334,30.3290365,262.27,0.097963917
40.7471868,30.3290679,262.29,0.097963917
40.74724,30.3290992,262.3,0.098034504
