Latitude,Longitude,High,density 
40.7202,-73.9933,200,0.2
40.7293,-73.9868,200,0.3
40.7385,-73.9802,200,0.4
40.7471,-73.9941,200,0.5
40.7554,-73.9865,200,0.6
40.7638,-73.9790,200,0.7
40.7720,-73.9929,200,0.8
40.7804,-73.9844,200,0.9
40.7887,-73.9770,200,0.6
40.7970,-73.9906,200,0.5
40.8053,-73.9821,200,0.4
40.8136,-73.9947,200,0.3
40.8219,-73.9862,200,0.2
40.8303,-73.9787,200,0.3
40.8386,-73.9913,200,0.4
40.8470,-73.9828,200,0.5
40.8553,-73.9752,200,0.6
40.8636,-73.9878,200,0.7
40.8720,-73.9793,200,0.8
40.8803,-73.9717,200,0.9
