Latitude,Longitude,High,density 
40.7185,-73.9965,200,5
40.7272,-73.9898,200,10
40.7361,-73.9842,200,15
40.7450,-73.9977,200,20
40.7540,-73.9911,200,25
40.7631,-73.9844,200,30
40.7719,-73.9979,200,35
40.7808,-73.9913,200,40
40.7897,-73.9847,200,45
40.7986,-73.9780,200,50
40.8074,-73.9915,200,55
40.8163,-73.9849,200,60
40.8252,-73.9782,200,65
40.8341,-73.9716,200,70
40.8430,-73.9850,200,75
40.8519,-73.9783,200,80
40.8608,-73.9717,200,85
40.8697,-73.9650,200,90
40.8786,-73.9784,200,95
40.8875,-73.9717,200,100
